iteration	average_loss_in_train_data	prediction_accuracy_on_test_data	average_loss_in_test data
1	0.029386227866633897	0.8461538461538461	0.07372107750701218
2	0.029386062512648504	0.8461538461538461	0.0737052336815371
3	0.029385412594643848	0.8461538461538461	0.07368881971860433
4	0.029384983424964622	0.8461538461538461	0.07367246113515855
5	0.029384825295774596	0.8461538461538461	0.07365658707028211
6	0.02938493852529534	0.8461538461538461	0.0736420332753519
7	0.029385060497754578	0.8461538461538461	0.07362672862602342
8	0.02938491656308273	0.8461538461538461	0.07361158485785162
9	0.029384565776316048	0.8461538461538461	0.07359644625956252
10	0.029385791854783384	0.8461538461538461	0.07358402169314152
11	0.029384543623486498	0.8461538461538461	0.073565292662087
12	0.0293844092082972	0.8461538461538461	0.07355014998755635
13	0.029383773624273246	0.8461538461538461	0.07353421939385704
14	0.02938363873761622	0.8461538461538461	0.07351845866823925
15	0.029383253991794096	0.8461538461538461	0.07350286599008986
16	0.029384214323146418	0.8461538461538461	0.07348988280908464
17	0.02938386806418592	0.8461538461538461	0.07347410677581526
18	0.02938349093581845	0.8461538461538461	0.07345855096692969
19	0.029383368277862865	0.8461538461538461	0.07344277035728713
20	0.02938297913677293	0.8461538461538461	0.07342651605812328
